商品id,时间,总销量,浏览量,抖音转化率,视频个数,直播个数,直播销量,视频销量,视频达人,直播达人
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-08 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-09 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-10 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-11 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-12 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-13 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-14 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-15 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-16 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-17 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-18 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-19 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-20 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-21 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-22 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-23 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-24 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-25 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-26 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-27 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-28 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-29 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-30 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-07-31 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-01 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-02 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-03 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-04 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-05 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-06 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-07 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-08 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-09 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-10 16:00:00,0,30,0.0,0,0,0,0,1,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-11 16:00:00,8664,16037,0.5402506703248737,0,2,8664,0,0,1
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-12 16:00:00,0,1807,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-13 16:00:00,0,32,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-14 16:00:00,2857,1562,1.0,0,1,2857,0,0,1
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-15 16:00:00,0,120,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-16 16:00:00,0,123,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-17 16:00:00,0,112,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-18 16:00:00,4372,5896,0.7415196743554953,0,2,4372,0,0,1
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-19 16:00:00,0,498,0.0,0,0,0,0,1,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-20 16:00:00,0,80,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-21 16:00:00,4481,5034,0.8901470003972983,0,1,4481,0,0,1
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-22 16:00:00,0,2313,0.0,0,0,0,0,1,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-23 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-24 16:00:00,8536,8455,1.0,0,3,8536,0,2,2
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-25 16:00:00,0,0,0.0,0,1,0,0,0,1
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-26 16:00:00,0,0,0.0,0,2,0,0,0,1
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-27 16:00:00,0,0,0.0,0,2,0,0,0,1
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-28 16:00:00,0,0,0.0,0,1,0,0,0,1
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-29 16:00:00,0,0,0.0,0,1,0,0,0,1
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-30 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-08-31 16:00:00,3859,0,0.0,0,1,3859,0,0,1
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-09-01 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-09-02 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-09-03 16:00:00,0,0,0.0,0,1,0,0,0,1
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-09-04 16:00:00,2972,0,0.0,0,1,2972,0,0,1
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-09-05 16:00:00,2780,0,0.0,0,1,2780,0,0,1
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-09-06 16:00:00,1782,0,0.0,0,1,1782,0,0,1
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-09-07 16:00:00,0,0,0.0,0,0,0,0,0,0
【乐哥专属】荣业广东风味广式腊肠吉祥腊肠250g/包,2021-09-08 16:00:00,1618,0,0.0,0,2,1618,0,0,1
