商品id,时间,总销量,浏览量,抖音转化率,视频个数,直播个数,直播销量,视频销量,视频达人,直播达人
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,2021-07-08 16:00:00,0,0,0.0,0,0,0,0,0,0
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,2021-07-09 16:00:00,0,0,0.0,0,0,0,0,0,0
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,2021-07-10 16:00:00,0,0,0.0,0,0,0,0,0,0
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,2021-07-11 16:00:00,0,0,0.0,0,0,0,0,0,0
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,2021-07-12 16:00:00,0,0,0.0,0,0,0,0,0,0
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,2021-07-13 16:00:00,0,0,0.0,0,0,0,0,0,0
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,2021-07-14 16:00:00,0,0,0.0,0,0,0,0,0,0
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,2021-07-15 16:00:00,0,0,0.0,0,0,0,0,0,0
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,2021-07-16 16:00:00,0,0,0.0,0,0,0,0,0,0
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,2021-07-17 16:00:00,0,0,0.0,0,0,0,0,0,0
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,2021-07-18 16:00:00,0,0,0.0,0,0,0,0,0,0
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,2021-07-19 16:00:00,0,0,0.0,0,0,0,0,0,0
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,2021-07-20 16:00:00,0,0,0.0,0,0,0,0,0,0
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,2021-07-21 16:00:00,0,0,0.0,0,0,0,0,0,0
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,2021-07-22 16:00:00,0,0,0.0,0,0,0,0,0,0
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,2021-07-23 16:00:00,0,0,0.0,0,0,0,0,0,0
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,2021-07-24 16:00:00,0,0,0.0,0,0,0,0,0,0
